3576022	Saint John’s	AG	17.11717	-61.84573	America/Antigua
3573374	The Valley	AI	18.21704	-63.05783	America/Anguilla
3427213	Zárate	AR	-34.09814	-59.02858	America/Argentina/Buenos_Aires
3427388	Villa Ocampo	AR	-28.48752	-59.35515	America/Argentina/Cordoba
3427408	Villa Lugano	AR	-34.67907	-58.47263	America/Argentina/Buenos_Aires
3427428	Villaguay	AR	-31.8653	-59.02689	America/Argentina/Cordoba
3427431	Villa Gesell	AR	-37.26394	-56.97304	America/Argentina/Buenos_Aires
3427761	Tigre	AR	-34.42603	-58.57962	America/Argentina/Buenos_Aires
3427833	Tandil	AR	-37.32167	-59.13316	America/Argentina/Buenos_Aires
3428068	San Vicente	AR	-26.61667	-54.13333	America/Argentina/Cordoba
3428071	Santo Tomé	AR	-28.54939	-56.04077	America/Argentina/Cordoba
3428359	Santa Elena	AR	-30.94768	-59.78696	America/Argentina/Cordoba
3428577	San Pedro	AR	-26.62207	-54.10842	America/Argentina/Cordoba
3428708	San Luis del Palmar	AR	-27.5079	-58.55454	America/Argentina/Cordoba
3428759	San Lorenzo	AR	-28.13306	-58.76733	America/Argentina/Cordoba
3428975	San Javier	AR	-30.57781	-59.9317	America/Argentina/Cordoba
3428992	San Isidro	AR	-34.47145	-58.50776	America/Argentina/Buenos_Aires
3429403	Saladas	AR	-28.25384	-58.62591	America/Argentina/Cordoba
3429576	Retiro	AR	-34.58333	-58.38333	America/Argentina/Buenos_Aires
3429577	Resistencia	AR	-27.46056	-58.98389	America/Argentina/Cordoba
3429594	Reconquista	AR	-29.15	-59.65	America/Argentina/Cordoba
3429652	Quilmes	AR	-34.72418	-58.25265	America/Argentina/Buenos_Aires
3429732	Puerto Rico	AR	-26.79598	-55.02402	America/Argentina/Cordoba
3429777	Puerto Iguazú	AR	-25.59912	-54.57355	America/Argentina/Cordoba
3429786	Puerto Esperanza	AR	-26.01517	-54.67306	America/Argentina/Cordoba
3429790	Puerto Eldorado	AR	-26.40843	-54.69463	America/Argentina/Cordoba
3429886	Posadas	AR	-27.36708	-55.89608	America/Argentina/Cordoba
3429902	Pontevedra	AR	-34.74974	-58.68697	America/Argentina/Buenos_Aires
3429949	Pirané	AR	-25.73239	-59.10879	America/Argentina/Cordoba
3430104	Paso de los Libres	AR	-29.71251	-57.08771	America/Argentina/Cordoba
3430340	Oberá	AR	-27.48706	-55.11994	America/Argentina/Cordoba
3430443	Necochea	AR	-38.54726	-58.73675	America/Argentina/Buenos_Aires
3430545	Morón	AR	-34.65344	-58.61975	America/Argentina/Buenos_Aires
3430598	Monte Caseros	AR	-30.25359	-57.63626	America/Argentina/Cordoba
3430601	Montecarlo	AR	-26.5662	-54.757	America/Argentina/Cordoba
3430708	Mercedes	AR	-34.65145	-59.43068	America/Argentina/Buenos_Aires
3430709	Mercedes	AR	-29.18186	-58.07895	America/Argentina/Cordoba
3430863	Mar del Plata	AR	-38.00228	-57.55754	America/Argentina/Buenos_Aires
3430988	Luján	AR	-34.57028	-59.105	America/Argentina/Buenos_Aires
3432043	La Plata	AR	-34.92145	-57.95453	America/Argentina/Buenos_Aires
3432079	La Paz	AR	-30.74485	-59.64566	America/Argentina/Cordoba
3433349	Jardín América	AR	-27.04346	-55.22698	America/Argentina/Cordoba
3433658	Gualeguaychú	AR	-33.00937	-58.51722	America/Argentina/Cordoba
3433663	Gualeguay	AR	-33.14156	-59.30966	America/Argentina/Cordoba
3433715	Goya	AR	-29.14003	-59.26256	America/Argentina/Cordoba
3433753	Gobernador Ingeniero Valentín Virasoro	AR	-28.05	-56.03333	America/Argentina/Cordoba
3433803	General José de San Martín	AR	-26.53743	-59.34158	America/Argentina/Cordoba
3433836	Garupá	AR	-27.48171	-55.82921	America/Argentina/Cordoba
3433899	Formosa	AR	-26.17753	-58.17814	America/Argentina/Cordoba
3433901	Fontana	AR	-27.41813	-59.02392	America/Argentina/Cordoba
3433956	Federal	AR	-30.95465	-58.78326	America/Argentina/Cordoba
3434095	Esquina	AR	-30.01444	-59.52719	America/Argentina/Cordoba
3434291	El Soberbio	AR	-27.29847	-54.19877	America/Argentina/Cordoba
3435038	Dolores	AR	-36.31321	-57.67918	America/Argentina/Buenos_Aires
3435103	Curuzú Cuatiá	AR	-29.79171	-58.0546	America/Argentina/Cordoba
3435217	Corrientes	AR	-27.4806	-58.8341	America/Argentina/Cordoba
3435261	Concordia	AR	-31.39296	-58.02089	America/Argentina/Cordoba
3435264	Concepción del Uruguay	AR	-32.48249	-58.23722	America/Argentina/Cordoba
3435356	Colegiales	AR	-34.57365	-58.44924	America/Argentina/Buenos_Aires
3435486	Chajarí	AR	-30.75048	-57.97962	America/Argentina/Cordoba
3435810	Campana	AR	-34.16874	-58.95914	America/Argentina/Buenos_Aires
3435910	Buenos Aires	AR	-34.61315	-58.37723	America/Argentina/Buenos_Aires
3436124	Barranqueras	AR	-27.48299	-58.93579	America/Argentina/Cordoba
3436199	Azul	AR	-36.77698	-59.85854	America/Argentina/Buenos_Aires
3436230	Avellaneda	AR	-29.11761	-59.65834	America/Argentina/Cordoba
3436287	Aristóbulo del Valle	AR	-27.09625	-54.89626	America/Argentina/Cordoba
3832132	Zapala	AR	-38.89916	-70.05442	America/Argentina/Salta
3832260	Yerba Buena	AR	-26.81667	-65.31667	America/Argentina/Tucuman
3832647	Villa Regina	AR	-39.1	-67.06667	America/Argentina/Salta
3832653	Villa Paula de Sarmiento	AR	-31.4933	-68.53838	America/Argentina/San_Juan
3832662	Villa Nueva	AR	-32.43293	-63.24763	America/Argentina/Cordoba
3832694	Villa María	AR	-32.40751	-63.24016	America/Argentina/Cordoba
3832756	Villa Dolores	AR	-31.94585	-65.18958	America/Argentina/Cordoba
3832778	Villa Constitución	AR	-33.22778	-60.3297	America/Argentina/Cordoba
3832791	Villa Carlos Paz	AR	-31.42414	-64.49778	America/Argentina/Cordoba
3832811	Villa Ángela	AR	-27.57383	-60.71526	America/Argentina/Cordoba
3832815	Villa Allende	AR	-31.29458	-64.29538	America/Argentina/Cordoba
3832899	Viedma	AR	-40.81345	-62.99668	America/Argentina/Salta
3832934	Victoria	AR	-32.61841	-60.15478	America/Argentina/Cordoba
3833027	Vera	AR	-29.4593	-60.21261	America/Argentina/Cordoba
3833062	Venado Tuerto	AR	-33.74556	-61.96885	America/Argentina/Cordoba
3833112	Veinticinco de Mayo	AR	-35.4323	-60.17271	America/Argentina/Buenos_Aires
3833367	Ushuaia	AR	-54.8	-68.3	America/Argentina/Ushuaia
3833412	Unquillo	AR	-31.23073	-64.31615	America/Argentina/Cordoba
3833794	Tres Isletas	AR	-26.34067	-60.43207	America/Argentina/Cordoba
3833859	Tres Arroyos	AR	-38.37394	-60.27978	America/Argentina/Buenos_Aires
3833883	Trelew	AR	-43.24895	-65.30505	America/Argentina/Catamarca
3834502	Termas de Río Hondo	AR	-27.49362	-64.85972	America/Argentina/Cordoba
3834601	Tartagal	AR	-22.51637	-63.80131	America/Argentina/Salta
3834813	Tafí Viejo	AR	-26.73201	-65.25921	America/Argentina/Tucuman
3834971	Sunchales	AR	-30.94404	-61.56148	America/Argentina/Cordoba
3835793	Santo Tomé	AR	-31.66274	-60.7653	America/Argentina/Cordoba
3835869	Santiago del Estero	AR	-27.79511	-64.26149	America/Argentina/Cordoba
3835994	Santa Rosa	AR	-36.61667	-64.28333	America/Argentina/Salta
3836194	Santa Lucía	AR	-31.53987	-68.49503	America/Argentina/San_Juan
3836277	Santa Fe de la Vera Cruz	AR	-31.63333	-60.7	America/Argentina/Cordoba
3836564	San Salvador de Jujuy	AR	-24.19457	-65.29712	America/Argentina/Jujuy
3836620	San Ramón de la Nueva Orán	AR	-23.13705	-64.32426	America/Argentina/Salta
3836669	San Rafael	AR	-34.61772	-68.33007	America/Argentina/Mendoza
3836772	San Pedro	AR	-24.23127	-64.86614	America/Argentina/Jujuy
3836846	San Nicolás de los Arroyos	AR	-33.33578	-60.22523	America/Argentina/Buenos_Aires
3836873	San Miguel de Tucumán	AR	-26.82414	-65.2226	America/Argentina/Tucuman
3836951	San Martín de los Andes	AR	-40.15789	-71.35337	America/Argentina/Salta
3836992	San Martín	AR	-33.08103	-68.46814	America/Argentina/Mendoza
3837056	San Luis	AR	-33.29501	-66.33563	America/Argentina/San_Luis
3837124	San Justo	AR	-30.78913	-60.59189	America/Argentina/Cordoba
3837213	San Juan	AR	-31.5375	-68.53639	America/Argentina/San_Juan
3837240	San José de Jáchal	AR	-30.24057	-68.74693	America/Argentina/San_Juan
3837441	San Jorge	AR	-31.89618	-61.85984	America/Argentina/Cordoba
3837675	San Francisco	AR	-31.42797	-62.08266	America/Argentina/Cordoba
3837702	San Fernando del Valle de Catamarca	AR	-28.46957	-65.78524	America/Argentina/Catamarca
3837980	San Antonio Oeste	AR	-40.73193	-64.94769	America/Argentina/Salta
3838233	Salta	AR	-24.7859	-65.41166	America/Argentina/Salta
3838506	Rufino	AR	-34.26827	-62.71262	America/Argentina/Cordoba
3838583	Rosario	AR	-32.94682	-60.63932	America/Argentina/Cordoba
3838793	Río Tercero	AR	-32.17301	-64.11405	America/Argentina/Cordoba
3838797	Río Segundo	AR	-31.6526	-63.9099	America/Argentina/Cordoba
3838859	Río Gallegos	AR	-51.62261	-69.21813	America/Argentina/Rio_Gallegos
3838874	Río Cuarto	AR	-33.13067	-64.34992	America/Argentina/Cordoba
3838902	Río Ceballos	AR	-31.16486	-64.32241	America/Argentina/Cordoba
3839307	Rawson	AR	-43.30016	-65.10228	America/Argentina/Catamarca
3839479	Rafaela	AR	-31.25033	-61.4867	America/Argentina/Cordoba
3839490	Quitilipi	AR	-26.86913	-60.21683	America/Argentina/Cordoba
3839982	Punta Alta	AR	-38.87588	-62.07359	America/Argentina/Buenos_Aires
3840092	Puerto Madryn	AR	-42.7692	-65.03851	America/Argentina/Catamarca
3840300	Presidencia Roque Sáenz Peña	AR	-26.78522	-60.43876	America/Argentina/Cordoba
3840860	Pocito	AR	-31.68333	-68.58333	America/Argentina/San_Juan
3840885	Plottier	AR	-38.96667	-68.23333	America/Argentina/Salta
3841490	Pergamino	AR	-33.88995	-60.57357	America/Argentina/Buenos_Aires
3841500	Pérez	AR	-32.99835	-60.76791	America/Argentina/Cordoba
3841956	Paraná	AR	-31.73197	-60.5238	America/Argentina/Cordoba
3842190	Palpalá	AR	-24.25647	-65.21163	America/Argentina/Jujuy
3842670	Olavarría	AR	-36.89272	-60.32254	America/Argentina/Buenos_Aires
3842881	Nueve de Julio	AR	-35.44437	-60.88313	America/Argentina/Buenos_Aires
3843123	Neuquén	AR	-38.95161	-68.0591	America/Argentina/Salta
3843619	Morteros	AR	-30.71164	-61.99862	America/Argentina/Cordoba
3843803	Monteros	AR	-27.16741	-65.49832	America/Argentina/Tucuman
3844421	Mendoza	AR	-32.89084	-68.82717	America/Argentina/Mendoza
3844899	Marcos Juárez	AR	-32.6978	-62.10672	America/Argentina/Cordoba
3845330	Machagai	AR	-26.92614	-60.04955	America/Argentina/Cordoba
3846864	Lincoln	AR	-34.86649	-61.5302	America/Argentina/Buenos_Aires
3846915	Libertador General San Martín	AR	-23.80644	-64.78757	America/Argentina/Jujuy
3848687	Las Breñas	AR	-27.08966	-61.08161	America/Argentina/Cordoba
3848950	La Rioja	AR	-29.41105	-66.85067	America/Argentina/La_Rioja
3851331	La Falda	AR	-31.08841	-64.48987	America/Argentina/Cordoba
3852374	La Calera	AR	-31.34377	-64.33529	America/Argentina/Cordoba
3852468	Laboulaye	AR	-34.12662	-63.39119	America/Argentina/Cordoba
3853354	Junín	AR	-34.58382	-60.94332	America/Argentina/Buenos_Aires
3853491	Joaquín V. González	AR	-25.08333	-64.18333	America/Argentina/Salta
3853510	Jesús María	AR	-30.98153	-64.09424	America/Argentina/Cordoba
3854895	Granadero Baigorria	AR	-32.85683	-60.71754	America/Argentina/Cordoba
3854985	Gobernador Gálvez	AR	-33.03016	-60.64045	America/Argentina/Cordoba
3855065	General Roca	AR	-39.03333	-67.58333	America/Argentina/Salta
3855074	General Pinedo	AR	-27.31667	-61.28333	America/Argentina/Cordoba
3855075	General Pico	AR	-35.65662	-63.75682	America/Argentina/Salta
3855116	General Enrique Mosconi	AR	-22.59588	-63.81255	America/Argentina/Salta
3855244	Gálvez	AR	-32.02927	-61.22103	America/Argentina/Cordoba
3855554	Firmat	AR	-33.45937	-61.4832	America/Argentina/Cordoba
3855666	Famaillá	AR	-27.05413	-65.40329	America/Argentina/Tucuman
3855974	Esquel	AR	-42.91147	-71.31947	America/Argentina/Catamarca
3856022	Esperanza	AR	-31.4488	-60.93173	America/Argentina/Cordoba
3856231	Embarcación	AR	-23.20898	-64.09605	America/Argentina/Salta
3856235	Embalse	AR	-32.18	-64.41809	America/Argentina/Cordoba
3858765	El Bolsón	AR	-41.96051	-71.53336	America/Argentina/Salta
